year	month	day	pageviews
2015	4	25	678175762
2015	4	26	749443573
2015	4	27	775519289
2015	4	28	743159096
2015	4	29	733287768
2015	4	30	694914157
2015	4	1	703356759
2015	4	2	691644534
2015	4	3	684948630
2015	4	4	674755572
2015	4	5	698782416
2015	4	6	759431125
2015	4	7	764067653
2015	4	8	758463512
2015	4	9	736735881
2015	4	10	684783196
2015	4	11	656276758
2015	4	12	708033111
2015	4	13	748532846
2015	4	14	747623781
2015	4	15	731981245
2015	4	16	732748743
2015	4	17	691198600
2015	4	18	649319404
2015	4	19	713811776
2015	4	20	737908065
2015	4	21	753742960
2015	4	22	749123424
2015	4	23	737115517
2015	4	24	707301876
