"Var1"	"Freq"
"aa"	276
"ab"	1227
"ace"	707
"af"	27926
"ak"	958
"als"	18614
"am"	8030
"an"	6956
"ang"	2036
"ar"	824119
"arc"	256
"arz"	10839
"as"	4449
"ast"	6663
"av"	600
"ay"	836
"az"	101058
"ba"	33912
"bar"	8604
"bat_smg"	2951
"bcl"	1423
"be"	54417
"be_x_old"	22724
"bg"	180603
"bh"	3737
"bi"	346
"bjn"	468
"bm"	294
"bn"	73930
"bo"	634
"bpy"	262
"br"	30207
"bs"	48165
"bug"	290
"bxr"	1799
"ca"	467480
"cbk_zam"	416
"cdo"	1776
"ce"	203685
"ceb"	5773
"ch"	764
"cho"	104
"chr"	16628
"chy"	171
"ckb"	4635
"co"	2946
"cr"	617
"crh"	764
"cs"	382832
"csb"	1535
"cu"	365
"cv"	5651
"cy"	21768
"da"	169408
"de"	3137568
"diq"	2054
"dsb"	1734
"dv"	1071
"dz"	184
"ee"	211
"el"	182882
"eml"	1696
"en"	15632696
"eo"	70977
"es"	2328221
"et"	95276
"eu"	181132
"ext"	522
"fa"	504448
"ff"	176
"fi"	292951
"fiu_vro"	299
"fj"	4023
"fo"	9254
"fr"	4043284
"frp"	297
"frr"	3438
"fur"	921
"fy"	17062
"ga"	16034
"gag"	473
"gan"	879
"gd"	15238
"gl"	103985
"glk"	1460
"gn"	897
"got"	450
"gu"	9092
"gv"	1349
"ha"	623
"hak"	379
"haw"	274
"he"	403796
"hi"	59631
"hif"	1529
"ho"	90
"hr"	72199
"hsb"	5277
"ht"	1476
"hu"	427630
"hy"	348348
"hz"	92
"ia"	1945
"id"	647903
"ie"	1618
"ig"	421
"ii"	73
"ik"	266
"ilo"	4382
"io"	29490
"is"	24153
"it"	1974751
"iu"	536
"ja"	1088359
"jbo"	924
"jv"	39952
"ka"	62386
"kaa"	531
"kab"	320
"kbd"	738
"kg"	271
"ki"	148
"kj"	68
"kk"	84035
"kl"	718
"km"	4560
"kn"	40156
"ko"	495230
"koi"	122
"kr"	157
"krc"	729
"ks"	442
"ksh"	971
"ku"	44166
"kv"	508
"kw"	964
"ky"	9494
"la"	56253
"lad"	676
"lb"	28746
"lbe"	360
"lez"	2701
"lg"	235
"li"	12451
"lij"	823
"lmo"	2618
"ln"	781
"lo"	4629
"lt"	70437
"ltg"	216
"lv"	62274
"map_bms"	2015
"mdf"	156
"mg"	2272601
"mh"	103
"mhr"	3669
"mi"	937
"min"	442521
"mk"	33486
"ml"	31456
"mn"	17905
"mo"	267
"mr"	25622
"mrj"	3462
"ms"	82385
"mt"	2757
"mus"	55
"mwl"	300
"my"	13677
"myv"	1308
"mzn"	1404
"na"	756
"nah"	4073
"nap"	1358
"nds"	17659
"nds_nl"	4121
"ne"	31912
"new"	3189
"ng"	80
"nl"	782155
"nn"	23732
"no"	303324
"nov"	185
"nrm"	233
"nso"	75
"nv"	1087
"ny"	132
"oc"	12626
"om"	747
"or"	43627
"os"	1651
"pa"	10526
"pag"	270
"pam"	1061
"pap"	430
"pcd"	365
"pdc"	801
"pfl"	633
"pi"	254
"pih"	404
"pl"	972125
"pms"	1976
"pnb"	4957
"pnt"	185
"ps"	8404
"pt"	977194
"qu"	1786
"rm"	825
"rmy"	551
"rn"	252
"ro"	389870
"roa_rup"	655
"roa_tara"	411
"ru"	2399857
"rue"	737
"rw"	1174
"sa"	13997
"sah"	1758
"sc"	948
"scn"	5239
"sco"	8915
"sd"	6889
"se"	632
"sg"	372
"sh"	5729489
"si"	6325
"simple"	132364
"sk"	88639
"sl"	83581
"sm"	1631
"sn"	2033
"so"	5710
"sq"	46680
"sr"	245467
"srn"	91
"ss"	679
"st"	2267
"stq"	359
"su"	4662
"sv"	514782
"sw"	9092
"szl"	1847
"ta"	54847
"te"	356418
"tet"	744
"tg"	64848
"th"	172637
"ti"	418
"tk"	1773
"tl"	14901
"tn"	527
"to"	200
"tpi"	741
"tr"	440446
"ts"	451
"tt"	15169
"tum"	140
"tw"	355
"ty"	293
"tyv"	956
"udm"	1818
"ug"	1178
"uk"	553660
"ur"	151928
"uz"	34555
"ve"	200
"vec"	6644
"vep"	2307
"vi"	581801
"vls"	2981
"vo"	4892
"wa"	4912
"war"	3699
"wo"	844
"wuu"	1979
"xal"	1301
"xh"	518
"xmf"	2299
"yi"	6296
"yo"	722
"za"	196
"zea"	540
"zh"	1200117
"zh_classical"	2544
"zh_min_nan"	4444
"zh_yue"	23096
"zu"	799
